MNIMI,MKOOD,AREA
Harju maakond,0037,4326689436.932724
Hiiu maakond,0039,1032439885.268013
Ida-Viru maakond,0045,2971579588.5965533
Järva maakond,0052,2674145121.0931997
Jõgeva maakond,0050,2544861776.3622894
Lääne maakond,0056,1815578593.1660113
Lääne-Viru maakond,0060,3695719925.3379927
Pärnu maakond,0068,5418727079.70122
Põlva maakond,0064,1823351039.47671
Rapla maakond,0071,2765055920.6590548
Saare maakond,0074,2937647056.082849
Tartu maakond,0079,3349304484.232173
Valga maakond,0081,1917087375.4695446
Viljandi maakond,0084,3420038827.2548895
Võru maakond,0087,2773139811.3739395
